Hotel Name,Place,description,Condition,Rating,Total Reviews
Crystal Sarovar Premiere Agra,"Taj Ganj, Agra",Travel Sustainable property,Good,7.7,"1,000 reviews"
The Hideout Agra - Boutique Homestay,"Taj Ganj, Agra",Travel Sustainable property,Very good,8.5,253 reviews
Joey's Hostel Agra,"Taj Ganj, Agra",Travel Sustainable property,Very good,8.1,"2,512 reviews"
"Aman Homestay, A Boutique Hotel",Agra,Travel Sustainable property,Superb,9.3,395 reviews
Hotel Taj Niwas,"Taj Ganj, Agra",Travel Sustainable property,Very good,8.1,150 reviews
Ramada Plaza By Wyndham Agra,Agra,Travel Sustainable property,Good,7,605 reviews
Max Guest House,"Taj Ganj, Agra",Travel Sustainable property,Superb,9.4,452 reviews
The Hosteller Agra,Agra,Travel Sustainable property,Very good,8,178 reviews
Hotel Orange,"Rakabganj, Agra","Featuring 3-star accommodation, Hotel Orange is situated in Agra, 2.5 km from Agra Cantonment and 5 km from Taj Mahal. With free WiFi, this 3-star hotel offers room service and a 24-hour front desk.",Good,7.5,139 reviews
Maple Grand,"Taj Ganj, Agra",Maple Grand is set in Agra and features a garden. This 3-star hotel offers a 24-hour front desk and a business centre. The property is 1.3 km from Taj Mahal and 1.9 km from Mehtab Bagh.,Good,7.2,125 reviews
The Coral Tree Boutique Homestay,Agra,"Featuring free WiFi, the Coral Tree Homestay offers accommodation in Agra. Taj Mahal is 700 metres from the property.",Superb,9.2,344 reviews
Holiday Inn Agra MG Road an IHG Hotel,"Sanjay Place, Agra",Travel Sustainable property,Very good,8.3,"1,137 reviews"
"Hotel Sheela, 100m from Taj Mahal","Taj Ganj, Agra",Travel Sustainable property,Review score,6.8,262 reviews
Taj Castle A Boutique Homestay,"Rakabganj, Agra",Travel Sustainable property,Superb,9.1,245 reviews
Bedweiser Backpackers Hostel,Agra,Travel Sustainable property,Good,7.9,92 reviews
Ekaa Villa & Kitchen,"Taj Ganj, Agra",Travel Sustainable property,Superb,9.2,103 reviews
Hotel Sidhartha,"Taj Ganj, Agra",Travel Sustainable property,Good,7.4,452 reviews
Tajview – IHCL SeleQtions,"Taj Ganj, Agra",Travel Sustainable property,Fabulous,8.6,267 reviews
Taj Sojourn,"Taj Ganj, Agra",Travel Sustainable property,Very good,8.2,188 reviews
goSTOPS Agra,Agra,Travel Sustainable property,Very good,8.1,316 reviews
N.Homestay,"Taj Ganj, Agra",Travel Sustainable property,Superb,9.3,144 reviews
Agra Hotels Marygold,Agra,Travel Sustainable property,Good,7.8,219 reviews
Jaypee Palace Hotel,"Taj Ganj, Agra",Travel Sustainable property,Very good,8.2,317 reviews
"Howard Plaza The Fern, Agra","Taj Ganj, Agra",Travel Sustainable property,Review score,6.3,361 reviews
Hotel Taj Resorts,Agra,Travel Sustainable property,Good,7,462 reviews
Taj Haveli Agra - Walking Distance from Taj Mahal Agra,Agra,Travel Sustainable property,Review score,6.5,48 reviews
Hotel Marc Royal,"Rakabganj, Agra","Situated in Agra, 4.1 km from Agra Cantonment, Hotel Marc Royal features accommodation with a garden, free private parking, a shared lounge and a terrace.",Good,7,72 reviews
Taj Haveli Agra - Walking Distance from Taj Mahal Agra,Agra,Travel Sustainable property,Review score,6.5,48 reviews
Hotel Taj Villa- Agra,"Taj Ganj, Agra","Hotel Hotel Taj Villa- Agra is located just 1 km from Taj Mahal, one of the Wonders of the World. Free WiFi access is available.",Review score,6.6,124 reviews
Hotel Avalon Palms Agra,Agra,"Located in Agra, 2.2 km from Taj Mahal, Hotel Avalon Palms Agra provides accommodation with a restaurant, free private parking and a bar. This 3-star hotel offers room service and a 24-hour front...",Very good,8.2,30 reviews
The Coral House Homestay by the Taj,Agra,Travel Sustainable property,Superb,9.3,496 reviews
Pearl of Taj Home Stay,Agra,"Located 700 metres from the UNESCO World Heritage Site of Taj Mahal, Pearl of Taj Home Stay offers accommodation in Agra and free WiFi. Guests can enjoy the on-site restaurant.",Fabulous,8.6,42 reviews
Bansi Home Stay,"Taj Ganj, Agra",Travel Sustainable property,Fabulous,8.7,38 reviews
Avexia Premiere Agra,Agra,Travel Sustainable property,Review score,6.9,96 reviews
FabHotel Plus Maniram Palace,"Taj Ganj, Agra",This hotel is situated 1 km from Taj Mahal - one of the wonders of the world. It houses an Indian restaurant and offers complimentary Wi-Fi access throughout its premises.,Good,7.7,8 reviews
Treebo Trend Swess Grand,"Taj Ganj, Agra","Featuring 3-star accommodation, Treebo Trend Swess Grand is set in Agra, 8 km from Agra Cantonment and 6.5 km from Agra Fort.",Review score,6.9,219 reviews
Sunita homestay,Agra,Travel Sustainable property,Fabulous,8.8,53 reviews
FabHotel World Link,"Taj Ganj, Agra",Travel Sustainable property,Good,7.5,31 reviews
The Retreat,Agra,Travel Sustainable property,Review score,6.6,138 reviews
Hotel G B Palace,"Taj Ganj, Agra",Travel Sustainable property,Good,7,76 reviews
Lucky Restaurant & Guest House,"Taj Ganj, Agra",Travel Sustainable property,Good,7.1,180 reviews
Hotel Saniya Palace inn,"Taj Ganj, Agra",Travel Sustainable property,Review score,6.7,327 reviews
Hotel Alleviate,Agra,Travel Sustainable property,Review score,6.5,662 reviews
"Blue Rose International, Family Hotel","Taj Ganj, Agra",Travel Sustainable property,Review score,4.9,137 reviews
Treebo Trend Kaant Palace Fatehabad Road,"Taj Ganj, Agra",Treebo Trend Kaant Palace Fatehabad Road offers accommodation in Agra. Each room at this hotel is air conditioned and is equipped with a flat-screen TV. Rooms are equipped with a private bathroom.,Review score,6,43 reviews
Hotel Rashmi,Agra,Travel Sustainable property,Good,7.1,49 reviews
Hotel Bhoomivilas,Agra,Travel Sustainable property,Review score,5.9,132 reviews
BigBrother hostel,Agra,Travel Sustainable property,Very good,8.3,174 reviews
Superinn home stay& guest house,Agra,"Set in Agra, 1.7 km from Taj Mahal, Superinn home stay& guest house offers accommodation with free WiFi and free private parking.",Good,7.9,116 reviews
The Taj Homes,Agra,"Set in Agra, near Taj Mahal and TDI Mall, Agra, The Taj Homes features free WiFi, and guests can enjoy a terrace. Both a bicycle rental service and a car rental service are available at the homestay.",Exceptional,9.7,107 reviews
Friends Home Stay - Agra,"Taj Ganj, Agra","Situated in Agra, 3.6 km from Taj Mahal and 4.1 km from Mehtab Bagh, Friends Home Stay - Agra offers free WiFi. Some units include a seating area and/or a terrace.",Very good,8.3,15 reviews
The Coral House Homestay by the Taj,Agra,Travel Sustainable property,Superb,9.3,496 reviews
Sai Palace Walking Distance From TajMahal,"Taj Ganj, Agra","A 2-minute walk from the beautiful Taj Mahal, Sai Palace Walking Distance From TajMahal houses a rooftop restaurant featuring spectacular sunset and Taj Mahal views and serving international dishes.",Good,7.9,235 reviews
"Blossom Rooms The Family Hotel, 500 Mtr From Tajmahal",Agra,Travel Sustainable property,Review score,5.5,26 reviews
"Blue Rose International, Family Hotel","Taj Ganj, Agra",Travel Sustainable property,Review score,4.9,137 reviews
The Orchid Retreat,Agra,Travel Sustainable property,Exceptional,9.7,141 reviews
Hotel The Chamber By WB Inn,"Taj Ganj, Agra",Travel Sustainable property,,,
The Taj Homes,Agra,"Set in Agra, near Taj Mahal and TDI Mall, Agra, The Taj Homes features free WiFi, and guests can enjoy a terrace. Both a bicycle rental service and a car rental service are available at the homestay.",Exceptional,9.7,107 reviews
Hotel Ganga Ratan,"Rakabganj, Agra","Located 800 m from Taj Mahal, Hotel Ganga Ratan in Agra provides rooms with air conditioning and free WiFi. The property is around 1.4 km from Agra Fort and 1.5 km from Mehtab Bagh.",Review score,5.1,13 reviews
Jaypee Palace Hotel,"Taj Ganj, Agra",Travel Sustainable property,Very good,8.2,317 reviews
The Taj Vista - Agra,Agra,"Situated in Agra, 1.8 km from Taj Mahal, The Taj Vista - Agra features accommodation with a garden, free private parking, a terrace and a restaurant.",Very good,8.2,225 reviews
Hotel The Orchid,"Taj Ganj, Agra",Travel Sustainable property,Good,7.5,206 reviews
"Hotel Kirandeep, Agra",Agra,"Featuring a terrace, Hotel Kirandeep, Agra is located in Agra in the Uttar Pradesh region, 50 metres from Agra Cantonment and 6.6 km from Taj Mahal.",Review score,5.3,29 reviews
Taj Nice Point,"Taj Ganj, Agra",Travel Sustainable property,Fabulous,8.9,96 reviews
Hotel The Golden Taj,Agra,"Located in Agra, 2.7 km from Taj Mahal, Hotel The Golden Taj provides accommodation with free bikes, free private parking and a restaurant.",Review score,5.7,3 reviews
FabHotel Spark Inn Tajganj,"Taj Ganj, Agra","Located within 4.6 km of Taj Mahal and 8.4 km of Agra Cantonment, FabHotel Spark Inn Tajganj provides rooms with air conditioning and a private bathroom in Agra.",Good,7.1,8 reviews
Golden Pearl,Agra,Travel Sustainable property,Good,7,23 reviews
Tuk Tuk Homestay,"Taj Ganj, Agra","Offering a children's playground and views of the garden, Tuk Tuk Homestay is set in Agra. Free private parking is available on site. Each room has a TV.",Very good,8.3,17 reviews
Hotel Kamal Nearest To Taj Mahal,"Taj Ganj, Agra","Offering a restaurant, Hotel Kamal Nearest To Taj Mahal is located in Agra. It is barely 100 metres away from the UNESCO World Heritage Site of Taj Mahal. Free Wi-Fi access is available.",Review score,6.9,122 reviews
The Orchid Villa,Agra,Travel Sustainable property,Fabulous,8.8,55 reviews
Hotel Shanti Palace By WB Inn,Agra,"Situated within 7.3 km of Mankameshwar Temple and 7.3 km of Jama Masjid, Hotel Shanti Palace By WB Inn features rooms in Agra.",,,
Hotel Ravi Palace By WB Inn,Agra,"Set within 2.4 km of Taj Mahal and 7.4 km of Agra Cantonment, Hotel Ravi Palace By WB Inn provides rooms in Agra.",,,
Bansi Home Stay,"Taj Ganj, Agra",Travel Sustainable property,Fabulous,8.7,38 reviews
Hotel Avalon Palms Agra,Agra,"Located in Agra, 2.2 km from Taj Mahal, Hotel Avalon Palms Agra provides accommodation with a restaurant, free private parking and a bar. This 3-star hotel offers room service and a 24-hour front...",Very good,8.2,30 reviews
hotel khubsaras palace by chhabra's,Agra,"Set in Agra, 4.2 km from Agra Cantonment, hotel khubsaras palace by chhabra's offers accommodation with a garden, free private parking, a terrace and a restaurant.",Exceptional,9.5,32 reviews
FabHotel World Link,"Taj Ganj, Agra",Travel Sustainable property,Good,7.5,31 reviews
The P L Palace Agra,"Sanjay Place, Agra",Travel Sustainable property,Review score,6.7,212 reviews
Taj Street Hostel,Agra,Travel Sustainable property,Superb,9.2,429 reviews
"Howard Plaza The Fern, Agra","Taj Ganj, Agra",Travel Sustainable property,Review score,6.3,361 reviews
HN Palace homestay,"Taj Ganj, Agra",Travel Sustainable property,Very good,8.5,87 reviews
Rama Grand HS,"Taj Ganj, Agra",Travel Sustainable property,Good,7.1,50 reviews
Golden Heights,Agra,Travel Sustainable property,Very good,8.2,5 reviews
OYO Hotel Hilton View,"Taj Ganj, Agra","Featuring 3-star accommodation, OYO Hotel Hilton View is set in Agra, 7.1 km from Agra Cantonment and 5.5 km from Agra Fort.",Review score,1,4 reviews
Premium Boston Rooms Family Hotel,Agra,Travel Sustainable property,Review score,5.6,94 reviews
Su- Koon Homestay,"Rakabganj, Agra","Located within 2 km from the UNESCO World Heritage Sites of Taj Mahal and the Agra Fort, Su- Koon Homestay operates a 24-hour front desk to welcome guests.",Good,7.1,36 reviews
Crystal Inn,"Taj Ganj, Agra",Travel Sustainable property,Review score,6.5,47 reviews
Superinn home stay& guest house,Agra,"Set in Agra, 1.7 km from Taj Mahal, Superinn home stay& guest house offers accommodation with free WiFi and free private parking.",Good,7.9,116 reviews
Hotel The Golden Taj,Agra,"Located in Agra, 2.7 km from Taj Mahal, Hotel The Golden Taj provides accommodation with free bikes, free private parking and a restaurant.",Review score,5.7,3 reviews
Awesome Home Stay,"Taj Ganj, Agra",Awesome Home Stay is set 2.5 km from Taj Mahal and 6.3 km from Agra Cantonment in the centre of Agra.,Good,7.3,146 reviews
Hotel Alleviate,Agra,Travel Sustainable property,Review score,6.5,662 reviews
Hotel Taj Sarovar By WB Inn,Agra,Travel Sustainable property,,,
Thomas Home Stay,Agra,Travel Sustainable property,Exceptional,9.7,16 reviews
Hotel the mohan grand,"Taj Ganj, Agra","Located in Agra, within 5.3 km of Taj Mahal and 9 km of Agra Cantonment, Hotel the mohan grand provides accommodation with a terrace and as well as free private parking for guests who drive.",,,
Near Taj Mahal - Friends Guest House,Agra,Travel Sustainable property,Good,7.8,36 reviews
Shiv Kothi - Homestay,Agra,Travel Sustainable property,Superb,9.3,49 reviews
Moustache Agra,Agra,"Moustache Agra in Agra provides adults-only accommodation with free bikes, a shared lounge and a terrace.",Good,7.1,240 reviews
Hotel Mohan by WB INN,Agra,"Featuring 1-star accommodation, Hotel Mohan by WB INN is situated in Agra, 7.3 km from Agra Cantonment and 11 km from Taj Mahal. This 1-star hotel has air-conditioned rooms with a private bathroom.",,,
Hotel Tara Palace,Agra,"Featuring 3-star accommodation, Hotel Tara Palace is situated in Agra, 1.5 km from Taj Mahal and 6.7 km from Agra Cantonment.",Good,7.3,34 reviews
Jahangir lodge,"Taj Ganj, Agra","Situated conveniently in the centre of Agra, Jahangir lodge offers free WiFi and free private parking for guests who drive.",Good,7.6,11 reviews
Aradhanas Home Stay Near Taj Mahal,"Taj Ganj, Agra","Set in the centre of Agra, 3.3 km from Taj Mahal and 6.3 km from Agra Cantonment, Aradhanas Home Stay Near Taj Mahal offers accommodation with free WiFi, air conditioning and access to a garden with a...",,,
Vijay Vilas Hotel & Convention Hall,Agra,"Set in Agra, 8.2 km from Agra Cantonment, Vijay Vilas Hotel & Convention Hall offers accommodation with a terrace, free private parking and a restaurant.",Fabulous,8.6,43 reviews
OYO Hotel The Orient Tree,Agra,"Featuring 3-star accommodation, OYO Hotel The Orient Tree is set in Agra, 2.2 km from Taj Mahal and 7.3 km from Agra Cantonment.",Review score,3.4,5 reviews
HOTEL DDSUITES AGRA,Agra,"Situated in Agra, 7.7 km from Taj Mahal, HOTEL DDSUITES AGRA features accommodation with a terrace, free private parking, a restaurant and a bar.",Review score,3,2 reviews
"Hotel Pratap, Agra ""Near Taj Mahal West Gate""","Taj Ganj, Agra","Well set in Agra, Hotel Pratap, Agra ""Near Taj Mahal West Gate"" provides air-conditioned rooms with free private parking and room service.",Good,7.1,10 reviews
Golden Heights,Agra,Travel Sustainable property,Very good,8.2,5 reviews
Hotel Castle View,"Taj Ganj, Agra",Travel Sustainable property,Very good,8.2,35 reviews
THE TAJ PEARL HOTEL,"Taj Ganj, Agra",Travel Sustainable property,Very good,8.1,33 reviews
G Vibes Guest House,Agra,"Set in Agra, 2 km from Taj Mahal, G Vibes Guest House offers accommodation with a shared lounge, free private parking, a terrace and a restaurant.",Very good,8.5,187 reviews
Hotel Swarajya Palace,"Rakabganj, Agra","Set 1.8 km from Agra Cantonment, Hotel Swarajya Palace offers 1-star accommodation in Agra and features a terrace. With free WiFi, this 1-star hotel offers room service and a 24-hour front desk.",Review score,6.2,23 reviews
Taj Inn Hotel,"Taj Ganj, Agra",Travel Sustainable property,Review score,6.3,44 reviews
Raj Paradise,Agra,Travel Sustainable property,Good,7,3 reviews
Hotel Sagar,"Taj Ganj, Agra","Offering a restaurant, Shree Balaji that serves Indian and Chinese delights, Hotel Sagar is located in Agra. Free WiFi access is available. Each room here will provide you with cable channels.",Review score,5.2,90 reviews
Hotel TSR By WB Inn,Agra,Travel Sustainable property,Review score,3,1 review
Taj Traditional,Agra,"Situated in Agra, within 2.9 km of Taj Mahal and 7.9 km of Agra Cantonment, Taj Traditional features accommodation with a terrace and as well as free private parking for guests who drive.",Review score,6.3,7 reviews
Colonel's Abode,Agra,Travel Sustainable property,Exceptional,10,4 reviews
Su- Koon Homestay,"Rakabganj, Agra","Located within 2 km from the UNESCO World Heritage Sites of Taj Mahal and the Agra Fort, Su- Koon Homestay operates a 24-hour front desk to welcome guests.",Good,7.1,36 reviews
Hotel Priya,Agra,Hotel Priya is situated just opposite Shanti Mangalick Hospital in Agra. It houses a business centre and an open-air garden restaurant offering views of the Taj Mahal. Free parking is provided.,Review score,6.5,18 reviews
Hotel Taj Heights,"Taj Ganj, Agra",Travel Sustainable property,Review score,6.6,25 reviews
"Hotel D R Residency, Agra","Rakabganj, Agra","Situated in Agra, within 3.3 km of Agra Cantonment and 4.2 km of Taj Mahal, Hotel D R Residency, Agra features accommodation with a terrace and as well as free private parking for guests who drive.",Exceptional,10,1 review
rest world,Agra,"Rest world is located in Agra, 6.7 km from Agra Cantonment, 4.6 km from Agra Fort, and 4.7 km from Jama Masjid.",Review score,6,3 reviews
Village Homestay,Agra,"Set in Agra, Village Homestay offers free WiFi, and guests can enjoy a garden, a terrace and a bar. Some units are air conditioned and include a seating and/or dining area and a TV.",Good,7.9,7 reviews
Maharaja Homestay,Agra,Travel Sustainable property,,,
OYO Love India Hotel,Agra,"Set in Agra, 1.9 km from Taj Mahal, OYO Love India Hotel offers rooms with air conditioning. The property is situated 8.1 km from Agra Cantonment, 6.6 km from Agra Fort and 6.7 km from Jama Masjid.",Very good,8,2 reviews
Thomas Home Stay,Agra,Travel Sustainable property,Exceptional,9.7,16 reviews
Crystal Inn,"Taj Ganj, Agra",Travel Sustainable property,Review score,6.5,47 reviews
Pyrenees Homestay,Agra,"Enjoy views of the Taj Mahal from the rooftop of Pyrenees Homestay. Featuring simple rooms with a satellite TV, it offers a restaurant and 24-hour front desk.",Very good,8.5,15 reviews
India Agra Homestay,"Taj Ganj, Agra","India Agra Homestay enjoys a location in Agra, just 2 km from Taj Mahal and 4 km from Agra Fort. The property has city views.",Exceptional,10,1 review
"Hotel D R Residency, Agra","Rakabganj, Agra","Situated in Agra, within 3.3 km of Agra Cantonment and 4.2 km of Taj Mahal, Hotel D R Residency, Agra features accommodation with a terrace and as well as free private parking for guests who drive.",Exceptional,10,1 review
rest world,Agra,"Rest world is located in Agra, 6.7 km from Agra Cantonment, 4.6 km from Agra Fort, and 4.7 km from Jama Masjid.",Review score,6,3 reviews
"Agra Homestay, Stay 1KM Walking Distance From Taj Mahal East Gate",Agra,Travel Sustainable property,Good,7.7,28 reviews
OYO Hotel Rajni Guest House,"Taj Ganj, Agra","Set in Agra, 3.1 km from Taj Mahal, OYO Hotel Rajni Guest House offers air-conditioned rooms and a restaurant. This 3-star hotel offers room service and a 24-hour front desk.",Review score,6,1 review
Hola Stay,"Taj Ganj, Agra","Boasting a sauna, Hola Stay is situated right in the heart of Agra. The air-conditioned accommodation is 4.7 km from Taj Mahal, and guests benefit from private parking available on site and free WiFi....",,,
Golden Heights,Agra,Travel Sustainable property,Very good,8.2,5 reviews
"The Taj King Residency, Agra",Agra,"Located 6.3 km from Taj Mahal, The Taj King Residency, Agra provides accommodation with a garden, a terrace and room service for your convenience.",Superb,9.3,3 reviews
Hotel Ashish Palace,"Taj Ganj, Agra",Travel Sustainable property,Review score,5.6,34 reviews
Sanskriti Home Stay,Agra,Travel Sustainable property,,,
Grand Hotel,Agra,"Housed in a colonial building, Grand Hotel is 4.5 km from the Taj Mahal and Agra Fort. It offers free parking and a free pick-up service from Agra Cantt Railway Station.",Review score,5,3 reviews
HOTEL SARWAN,Agra,"Set in Agra, less than 1 km from Agra Cantonment, HOTEL SARWAN offers accommodation with a garden, free private parking, a shared lounge and a restaurant.",Review score,6.7,32 reviews
Hotel Dasaprakash,"Taj Ganj, Agra","Hotel Dasaprakash is situated within 2 km of attractions such as the regal Taj Mahal, and the Red Fort. It houses a restaurant and offers free Wi-Fi access.",Review score,5.3,23 reviews
Maya Hotel & Restaurant,"Taj Ganj, Agra",Travel Sustainable property,Review score,6.7,18 reviews
Hotel Radhe Inn By WB Inn,"Taj Ganj, Agra",Hotel Radhe Inn By WB Inn features air-conditioned rooms with flat-screen TV in the Taj Ganj district of Agra.,,,
Awsome tulip homestay,"Taj Ganj, Agra","In a prime location in the centre of Agra, Awsome tulip homestay provides free WiFi throughout the property, a terrace and free private parking for guests who drive.",Review score,1,1 review
FabHotel Alpine Tajganj,Agra,Travel Sustainable property,Review score,4.4,68 reviews
SPOT ON Om Hotel & Restaurant,Agra,"11 km from Taj Mahal, SPOT ON Om Hotel & Restaurant is located in Agra and provides air-conditioned rooms. This 3-star hotel offers room service, a 24-hour front desk and free WiFi.",,,
Flagship Hotel A Star,Agra,Travel Sustainable property,Superb,9,1 review
